habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
leaves 	 Feuilles opposées ou alternes, simples et pétiolées, entières ou ± denticulées.
stipules 	 Stipules sur le rameau, souvent très petites et ± caduques, parfois unies par deux entre certaines feuilles opposées, à un ou plusieurs denticules.
wood 	 Bois tantôt normal et cylindrique ( Pl. 3 , fig. 1-7 , p. 11 ), tantôt orné de sillons concentriques (certains Salaria, Pl. 1 , fig. 1 , et Pl. 2 , fig. 1-9, 11-18 ) ou rayonnants (Loeseneriella, Pl. 1 , fig. 2 , Pl. 2 , fig. 19-21 et Pl. 3 , fig. 8-16 ).
latex 	 Présence ou non d'une sorte de latex se présentant à la cassure de certains organes, sous forme de filaments de caoutchouc aisément observables à sec.
lamina 	 Limbe foliaire penninerve.
petiole 	 Pétiole canaliculé.
elementary inflorescences 	 Inflorescences élémentaires souvent en cymes; celles-ci sont souvent groupées en panicules terminales ou axillaires;  parfois inflorescences uniflores axillaires;  parfois des fascicules ou des glomérules pauci à multiflores quelquefois caulinaires. 
bracts 	 Bractées et bractéoles souvent petites, opposées ou alternes, parfois auriculées.
flowers 	 Fleurs actinomorphes, rarement subactinomorphes, rotacées ou urcéolées, souvent petites, hermaphrodites, rarement unisexuées, à protandrie fréquente, vertes ou colorées, ± odorantes.
calyx 	 Calice généralement lobé à (3)4-5 divisions imbriquées rarement valvaires, égales ou non.
corolla 	 Corolle à (3)4-5(7) pétales imbriqués ou valvaires.
stamens 	 Étamines (2)3-5 souvent alter-nipétales si le nombre en est égal à celui des pétales, ou alternicarpelles si le nombre est celui des carpelles; filets libres ou connés à la base (ex. Campylostemon), juxtaposés ou espacés à la base, souvent rubanés avec une anthère extrorse (Hippocrateoideae sauf Campylostemon et Tristemonanthus) ou introrse (Celastroideae). 
anthers 	 Anthère soit à 2 loges ± longitudinalement fendues soit obliques et ± confluentes jusqu'à ne s'ouvrir que par une seule fente transversale, soit à une seule loge (avec 4 locelles) s'ouvrant en deux lèvres simples transverses.
pollen 	 Pollen ( Pl. 4 ) en monades dans le plus grand nombre de genres, ordinairement tricolporées avec des replis aperturaux et une exine souvent réticulée sur columelles; plus rarement des tétrades à éléments triporés ou tricolporés (Campylostemon) ou des polyades à éléments porés (Hippocrateà). 
disk 	 Disque caractéristique de la famille, absent seulement chez les Carnpylostemoneae, intra, extra ou amphistaminal; il est variable, annulaire, simple ou lobé, échancré ou divisé (en trois croissants chez Apodostigma), en coussinet, bourrelet, tronc de cône ou cupule, soit entièrement nectarifère (disque proprement dit) soit zoné et accompagné d'un massif charnu ou androgynophore ± indépendant. 
